created_at,text
2015-05-17 20:05:22,The sad thing is how believable this truly is https://t.co/jdcEldkhNn
2015-05-07 16:57:00,“Hillary Clinton’s Path To Victory” by @Disalmanac https://t.co/3QITUNlL4f
2015-05-07 03:45:25,RT @chris_milk: Quick story.  Life long phobia of public speaking.  Spoke at TED.  Scariest moment of life. http://t.co/XCqlXG3knz http://t…
2015-05-06 22:59:21,"Finally dragged, kicking and screaming, into whatever it is that constitutes communication in this day and age."
