created_at,text
2016-01-17 02:55:11,Ahhhhh! https://t.co/436a2uQcIl
2016-01-16 21:55:14,Lazy Saturday! https://t.co/xfcg0EEJQq
2016-01-16 19:55:18,Awww! https://t.co/rSF82ysrwA
2016-01-16 05:55:06,So sleepy! https://t.co/IDaUacPdXC
2016-01-16 02:55:12,It's so cold outside! https://t.co/12tTWc9G6F
2016-01-15 21:30:30,RT @EmrgencyKittens: me when someone tells me to smile https://t.co/77mm4wfz11
2016-01-15 05:05:08,I believe you. https://t.co/dBl5p3ZVvI
2016-01-15 03:05:10,"No human can resist the head tilt, RT if you agree! https://t.co/q2p6MN9F98"
2016-01-15 01:05:09,Wellll give me some food human! https://t.co/9hVYzukpAe
2016-01-14 05:50:08,That little nose melts my &lt;3 https://t.co/ghymDmtT1O
2016-01-14 03:45:15,Action shot! https://t.co/EC4xwn2LNJ
2016-01-14 01:00:32,RT if your cat would love this! https://t.co/B7q0evJa9w
2016-01-13 21:37:48,RT @EmrgencyKittens: bow ties are the best. https://t.co/4j4WZIiTtE
2016-01-13 21:37:19,RT @EmrgencyKittens: He's a little lion! https://t.co/FQGVtE5QLf
2016-01-13 04:15:23,And now we know! https://t.co/EvcJiwbWOr
2016-01-12 23:15:37,Aww retweet if you would spend all day cuddling this cutie! https://t.co/dAiAZiQOWt
2016-01-12 20:15:50,Happy tongue out Tuesday!  Retweet! https://t.co/FwY1FmhWSW
2016-01-12 06:10:14,Ok enough with the online shopping! https://t.co/nSEQm0uIzJ
2016-01-12 00:10:23,I fell over! Retweet if you think this kitten is a cutie! https://t.co/uHK3SB1Y1B
2016-01-11 22:00:51,"""There are so many of them"" -Dog https://t.co/1z8UAVgVaU"
2016-01-10 19:05:24,"RT @EmrgencyKittens: Keep quiet, she is sleeping https://t.co/80A3pG2da1"
2016-01-10 00:05:18,"RT @ColeTheBlackCat: He was so cute and fluffy, look at those little paws! :)
#TBT #CatsOfTwitter #coleandmarmalade https://t.co/O68FrHQ0zJ"
2016-01-09 19:05:25,I thought weekends were for fun! https://t.co/C8XEBMJUbA
2016-01-09 06:05:12,Aww Friday snuggle session! https://t.co/s2kUTHKoAv
2016-01-08 23:05:30,Soooo are you done with work yet? https://t.co/kgafeBiDz2
2016-01-08 19:05:30,Well hello there! https://t.co/HjqePlxbRY
2016-01-08 04:00:33,Ready for an afternoon nap! RT if you agree! https://t.co/iQU3H2jGOH
2016-01-07 23:00:47,Cat = Friend https://t.co/DmMWdNCbrV
2016-01-06 17:02:33,Retweet if you don't want to go to work and are willing to hide in the couch cushions to do so! https://t.co/9y8TbyNryx
2016-01-06 06:00:31,Goodnight &lt;3 https://t.co/ufuvzBO2o1
2016-01-06 03:00:29,What a beauty! &lt;3 https://t.co/MyiJCM0c4r
2016-01-06 01:00:39,I AM MAGNETO! retweet to spread the laughs! https://t.co/bTAb5dKvXr
2016-01-05 17:13:14,RT @EmrgencyKittens: we may need to get a size bigger. https://t.co/tZfCTjc1Za
2016-01-01 19:40:25,Smile pretty! https://t.co/XkSx3LafVx
2016-01-01 05:40:18,Wishing you a snuggly new year! https://t.co/DMR9WmgrlY
2015-12-31 22:40:28,Awww that's ok! https://t.co/n1tJIIMzoK
2015-12-31 19:40:36,Moms little helper https://t.co/BrXbE9WDjc
2015-12-31 05:40:18,Retweet if this made you awwww! https://t.co/YMIqqBTQV0
2015-12-30 22:40:28,How I wake up every morning https://t.co/rizNdZXOp7
2015-12-30 19:40:32,So pretty! https://t.co/WoC86YeC89
2015-12-30 04:40:09,Goodnight! https://t.co/V0vN0n5QiM
2015-12-30 01:30:30,Retweet if this happens in your house! https://t.co/jzJbsYTATK
2015-12-29 04:10:24,So beautiful! https://t.co/9YbrjmQuOg
2015-12-28 22:05:26,RT @HumaneSociety: Keep your pet safe &amp; happy during the holidays with these great tips! 🐶🐱 https://t.co/Cg8LTs1jHy
2015-12-28 19:10:43,Stretchhhhh! https://t.co/hYTCELiXKM
2015-12-28 04:10:27,"I'm just going to take a little sip, k? https://t.co/qvuayziJ55"
2015-12-27 22:05:17,RT @EmrgencyKittens: avoiding responsibilities like https://t.co/buahdOa0SH
2015-12-27 19:05:20,Yes... yes you did. https://t.co/g0RbmYsUAR
2015-12-27 04:10:15,Keeping warm! https://t.co/ABOaFrDT04
2015-12-26 22:05:16,RT @IAMLILBUB: https://t.co/Qh5UNrc8Qa
2015-12-26 19:05:18,Retweet if you are FULL of holiday cheer! https://t.co/bZlMbbVnwe
2015-12-26 04:05:10,https://t.co/uRlCpZt5rP
2015-12-25 22:01:16,RT @RealGrumpyCat: https://t.co/MYrGVsAtES
2015-12-25 19:05:21,Unwrapping presents like.... https://t.co/SJHlo8e14n
2015-12-25 04:10:18,Retweet if your cat likes water! https://t.co/Qj25mSrN4s
2015-12-24 22:01:27,RT @EmrgencyKittens: THE REALIZATION https://t.co/kiaXkCrXQT
2015-12-24 19:05:23,Retweet if you regret nothing! https://t.co/OiVOstyA1O
2015-12-24 02:10:13,Retweet if you are ready for a little catnap! https://t.co/VVXael5qkM
2015-12-22 22:01:46,Retweet if you are getting your cat a box this year! https://t.co/idawTaGqD9
2015-12-22 19:02:06,RT @IAMLILBUB: https://t.co/dqsGim5fGx
2015-12-22 06:00:38,Oh the holiday meals! Retweet for a happy new year! https://t.co/OActaF0JIZ
2015-12-22 03:15:13,RT @EmrgencyKittens: When mom cooks your favorite meal https://t.co/OeMntqLAk2
2015-12-22 01:00:47,Time for a little nap session in her go to frisbee! https://t.co/O4eJ4JaaIZ https://t.co/kxLolPyPUh
2015-12-22 00:00:48,"Big or little, any box will do! https://t.co/cl0Zc80BZG"
2015-12-21 01:10:32,What a beauty! https://t.co/03Xg5m9I8W
2015-12-20 22:10:28,Just trying to get some work done.... https://t.co/hVrdAxoGV3
2015-12-20 19:10:36,Retweet if you are finishing your holiday shopping! https://t.co/C6LEur9x62
2015-12-20 01:10:33,Retweet if you would spend all 9 live with this cutie! https://t.co/Veef8e3zVd
2015-12-19 22:01:22,Time for a nice big stretch! https://t.co/PtAPI6V4Ju
2015-12-19 19:01:38,Retweet if you are ready for a nice relaxing weekend! https://t.co/KXp8c0U1ka
2015-12-01 18:22:24,"This #GivingTuewday join us and @TheAnimalRescue help animals in need!
&gt;&gt; https://t.co/zjQpaoaiNu https://t.co/oDO46Ialxd"
2015-09-29 18:23:33,Happy #NationalCoffeeDay! http://t.co/e25wrzZeWD
2015-09-10 08:02:12,Nothing more cuter than our babies sleeping. --- Kimberly http://t.co/soYpAPkRZ5
2015-09-10 06:01:49,"Rescue kitten Haus the Boss, apparently in heaven... --- Sharon http://t.co/s926WVZkqp"
2015-09-10 03:01:31,My new baby (in a few weeks ) Morgan in the front and her sister Neil. --- Vicki http://t.co/li4R00Tdfm
2015-09-10 00:02:14,"My handsome boy Tristan, enjoying the summer air. --- Nancy http://t.co/F0cArawYwM"
2015-09-09 19:03:09,"Haley &amp; Bailey, sister (left) and brother. About 9 or 10 years old. Rescues. - Steve http://t.co/3dcbq6QeFJ"
2015-09-09 18:03:01,Who else wanted to go shopping at Ikea after watching this?! &gt;&gt;http://t.co/r4KoAu4UvR
2015-09-09 17:03:03,Best buddies! http://t.co/3tDs499BWl
2015-09-09 15:03:12,This playtime could last a while!  &gt;&gt;&gt; http://t.co/ok4Ms87A2z http://t.co/HSLAV8vAoS
2015-09-09 14:13:18,@Inukshuk014 I bet they are 💕💕
2015-09-09 14:12:40,@HWA_Poison @BraidsAndScars Not evil!! But they definitely know how to rule the house 😉
2015-09-09 14:11:36,@InmaSunshine Me too. So happy that Severus found his forever home. 💕
2015-09-09 14:02:54,"My daughter's cat, Lily...Love the sign! --- Jeanie http://t.co/F6B8irFm35"
2015-09-09 14:02:23,@DarkSnakeLord Every kitty is unique! They all have so much love to give 😻
2015-09-09 14:01:47,@lizzy000013 Life is full of surprises. ♥️
2015-09-09 13:59:01,@Crazy_FanStupid 😿
2015-09-09 13:58:50,@smadge1 I don't know...I think dogs AND cats are pretty cute 😻 PROOF:http://t.co/PSDYaPePME
2015-09-09 09:01:52,"Can’t Get Your Cat To Stop Scratching? Here’s Why.

►http://t.co/4lfalFvxop http://t.co/DE8O8fKLHl"
2015-09-09 07:01:21,"Watch What This Horse And Dog Do When They Think No One Is Watching

&gt;&gt;&gt; http://t.co/SHWIqMkrwT http://t.co/vyATz4PZJJ"
2015-09-09 06:01:15,Princess Daisy Mae will sleep anywhere she pleases! --- Karen
2015-09-09 05:01:02,We already know you're a cat person...but would you adopt one of these ten cuties?! &gt;&gt;&gt; http://t.co/r6fx3a8SwZ http://t.co/mrfT2OqenY
2015-09-09 03:00:48,This is my China at 3 weeks old. --- Kara http://t.co/4pzi9diaba
2015-09-09 02:01:07,"SO much love &amp; compassion from one incredible dog! &lt;3  

► http://t.co/9jUqrytWJF http://t.co/BoODFoT0dR"
2015-09-09 00:00:56,"""My boys Titan &amp; Marley."" --- Annamaria http://t.co/z6UHSYn3Eh"
2015-09-08 19:29:43,"Do You Dread Leaving Your Pet At Home? You Need To Read This!

&gt;&gt;&gt; http://t.co/LUVNcBM3xb http://t.co/iO7ILn34fD"
2015-09-02 08:01:51,"""She's brought joy into our house."" --- Reade http://t.co/C9HtFe6fk4"
2015-09-02 06:02:08,"""This is Sissy cat. She is lovingly named Sissy because she is afraid of her own shadow."" - Sally http://t.co/ZEiBBe6Z5n"
2015-09-02 00:02:01,"""My granddaughter &amp; my grandcat."" --- Janice http://t.co/zE1LtdaKlk"
2015-09-01 19:02:56,"""Good morning mom! Dusty sharing morning coffee with me!"" --- Melanie http://t.co/qGjg1iwIMe"
2015-09-01 17:07:28,#CatsOfTwitter http://t.co/jAM2F5bmO0
2015-09-01 15:02:40,I had wanted a cat for a very very long time but my parents don’t exactly like pets. Read here:http://t.co/jGyG6aajYr http://t.co/ZibmanydQh
2015-09-01 15:02:40,"""Our beautiful new baby lemmy 😃."" --- Angela http://t.co/Vd4KUsS7l4"
2015-09-01 14:02:47,"""Phoebe - also known as Pretty Princess."" --- Jaq http://t.co/r5LWZJGdw4"
2015-09-01 08:01:19,"""My cats love my daughter."" --- Brandon http://t.co/H8Apr1mnS3"
2015-09-01 05:00:45,"Rough Day? This It Will Make It All Better. Trust Me.

&gt;&gt;&gt; http://t.co/OCQ33xkk3m http://t.co/MIResMvR5j"
2015-09-01 04:00:38,"""Angels are closer than you think™."" &gt;&gt;&gt;http://t.co/4INFzyXaCl http://t.co/pA7gayAQQ9"
2015-09-01 03:00:44,"""Omg this is so cute.Hiroshi and his brother Akira sleeping on my bed like this...."" --- Johanni http://t.co/nT6RAZeeva"
2015-09-01 02:00:46,"So Simple Yet So Purr-fect

&gt;&gt;&gt;http://t.co/tkRzJq4gDP http://t.co/DmAoZ7t8vA"
2015-09-01 01:00:45,"""What thou has lost, Heaven has in store."" &gt;&gt;&gt;http://t.co/OZ8Ve57s61 http://t.co/SPnMGPRF9J"
2015-09-01 00:00:48,Leo wants Caturday every day! http://t.co/tI47mWWyBd
2015-08-31 20:53:20,Little ball of fur. #MyTypeIn4Words http://t.co/KSVGa4Ilqv
2015-08-31 20:47:29,@jbnyma97 You can help feed and care for homeless animals for FREE by going to http://t.co/js3IDKHQMh 😻
2015-08-31 20:41:28,RT @TheAnimalRescue: RT if you're guilty https://t.co/4JPskYGFHQ
2015-08-31 20:18:49,"If you lead, I will follow. &lt;3 &gt;&gt;&gt; http://t.co/tZdrR8qPxG http://t.co/icoEaaUYji"
2015-08-29 15:01:50,Jurassic Park Would Be Much More Fun With These Guys! &gt;&gt;http://t.co/9LASgh3CIb http://t.co/shcoEIXV6c
2015-08-29 14:01:48,"""Haley is becoming quite comfortable in front of the camera!"" --- Steve http://t.co/Nr9FEhJgL0"
2015-08-29 12:01:30,No baby duckling left behind!! &gt;&gt;&gt;http://t.co/M0Ww3UzQZs
2015-08-29 11:01:25,"Once we read her story, we knew she was The One. &gt;&gt;&gt;&gt;&gt;http://t.co/sIw2oZhaQA http://t.co/taxOe3ZJq3"
2015-08-29 10:01:17,It looks so creepy! &gt;&gt;&gt;http://t.co/AUtFxHDUFx http://t.co/IZaBcAhE18
2015-08-29 09:01:12,Rare “Corpse Flower” Bloom At Denver Botanical Garden! &gt;&gt;&gt;http://t.co/0IGznj3w9Q http://t.co/WvJ6gbaaq8
2015-08-29 08:01:09,So sweet Erin! http://t.co/zbiWeWVxuU
2015-08-29 07:01:06,What is this cat doing?! &gt;&gt;&gt;http://t.co/494SSpDF6k http://t.co/fhEpdyt3DL
2015-08-29 06:01:01,"""Teddy 14 this morning all eyes and cute."" --- Thomas http://t.co/3YqxCfTGu3"
2015-08-29 05:00:48,Two happy dogs :) &gt;&gt;&gt;http://t.co/Vpu71tlJgh http://t.co/ExXps20azr
2015-08-29 04:00:51,Sounds good to me! &gt;&gt;&gt;http://t.co/2RTqcqnRLA http://t.co/O2ipHZ1MY0
2015-08-29 03:01:00,"""I love my Gus."" --- Joanna http://t.co/9qrHsvKfFE"
2015-08-29 02:01:10,Such a good idea!! &gt;&gt;&gt;http://t.co/G1RlIBt2S6 http://t.co/QundhOeeqO
2015-08-29 01:01:17,ARE YOU KITTEN ME?! &gt;&gt;&gt;http://t.co/zsYx6iSnQ9 http://t.co/RbhZfNwo3u
2015-08-29 00:01:29,"""My Lenin."" --- Philip http://t.co/qQsbcsfwKZ"
2015-08-28 23:01:22,"Cat explains to Kitten the importance of 
massage. :) &gt;&gt;http://t.co/4oNssJcoPD http://t.co/9JoYPd4UTl"
2015-08-28 22:01:15,What a cutie! &gt;&gt;&gt;http://t.co/Pmh8KsP2gG http://t.co/YE3DRkrI1e
2015-08-28 21:01:21,Such a curious little kitty ;) &gt;&gt;&gt;http://t.co/34Zt9pz6Gn http://t.co/Mh4xlWOVQa
2015-08-28 20:01:25,Only two things matter. &gt;&gt;&gt;http://t.co/lJCDSYLD87 http://t.co/0LsvbLey67
2015-08-28 19:01:33,"""Happy teechy cat."" --- Patricia http://t.co/mECE8Gc2wr"
2015-08-28 18:01:22,"And for a moment, everything is right in this world. &lt;3 

&gt;&gt;&gt; http://t.co/nhvFi6p6mU http://t.co/ucr2kuXqhy"
2015-08-28 17:01:33,"""She's brought joy to our house."" --- Reade http://t.co/DMKpC4K02X"
